Area_sqft,Bedrooms_BHK,Age_of_house,Floors,Distance_to_city_center_km,Property_tax_value,Location,House_type,Facing_direction,Furnishing,Nearby_schools_rating,Crime_rate,Parking_available,Road_width_ft,Amenities,Nearby_hospital_distance_km,Nearby_main_road_distance_km,Nearby_bus_stop_distance_km,Nearby_metro_distance_km,Traffic_density,Pollution_index,Demand_index,Appreciation_rate,Competitor_properties_nearby,Loan_amount,Loan_approved,Down_payment,Monthly_EMI,Household_income,Seller_type,Renovation_required,Condition_rating,Construction_material,Water_supply_type,Electricity_backup,Price_range_class,Sold
1260,1,28,1,23.35,8327,Delhi,Villa,North,Unfurnished,4.2,4.5,No,32,"Pool,Gym",5.18,3.79,0.94,4.19,1.5,93.5,2.55,1.23,3,1787669,0,1111528,168797,259731,Agent,0,3,Concrete,Borewell,No,0,1
5790,5,47,1,1.97,16586,Mumbai,Duplex,South,Unfurnished,3.6,6,Yes,24,"Garden,Pool,Security",3.53,2.31,4.67,5.46,4.1,139.3,4.03,3.15,2,1956327,1,1881428,135650,482366,Owner,1,2,Brick,Both,Yes,2,0
5626,4,33,2,33.8,28914,Chennai,Studio,East,Unfurnished,3.9,1.1,No,80,"Security,Gym,Clubhouse",4.72,0.14,3.18,2.25,6.6,194.2,3.28,10.71,1,3235335,1,118931,113222,355759,Owner,1,2,Concrete,Both,No,2,0
5591,2,47,4,2.53,27524,Delhi,Studio,East,Fully Furnished,2.2,8.8,Yes,44,"Pool,Garden",4.51,6.88,2.39,7.6,2.9,189.9,7.38,1.31,12,2213803,1,1043756,116114,397719,Agent,0,2,Concrete,Both,Yes,2,0
4172,1,17,4,7.25,8941,Bangalore,Apartment,North,Semi Furnished,4,4.9,No,91,"Gym,Clubhouse,Garden,Pool",4.43,1.28,2.94,7.49,2.3,33.7,1.67,11.01,11,4349832,1,471475,148272,482163,Owner,1,2,Brick,Borewell,Yes,2,0
3492,3,1,4,4.53,12863,Chennai,Villa,North,Semi Furnished,2.1,6.6,Yes,88,"Security,Gym",1.43,3.74,2.07,0.34,1.2,163.4,7.53,9.71,6,4235493,1,455808,35791,152191,Owner,0,2,Brick,Borewell,No,2,0
866,4,15,4,3.58,2304,Hyderabad,Independent House,North,Unfurnished,3.7,2.8,No,67,"Lift,Playground,Clubhouse",7.73,3.66,0.75,4.33,9.6,135,6.26,14.41,1,556250,0,1900197,135996,439771,Builder,1,4,Mixed,Both,Yes,0,1
5734,4,28,1,1.51,4397,Hyderabad,Apartment,East,Fully Furnished,4.1,7.3,No,52,"Playground,Lift",2.82,6.65,4.47,4.56,7.6,120.6,5.58,14.55,12,3841659,1,110681,162567,22112,Agent,1,2,Concrete,Municipal,Yes,2,1
4826,1,32,3,2.67,28576,Bangalore,Studio,West,Semi Furnished,4.1,3.8,Yes,33,"Playground,Pool",13.53,5.42,3.8,2.36,3.4,94.3,5.45,1.83,3,2684638,1,1545610,32659,40454,Agent,1,1,Concrete,Municipal,Yes,2,1
5978,3,15,3,17.98,17698,Chennai,Villa,West,Fully Furnished,3.2,5.6,Yes,48,"Security,Clubhouse",12.12,3.93,3.52,2.19,6,129.4,6.01,8.76,8,3264870,0,1074294,77716,335121,Builder,1,1,Concrete,Both,Yes,2,0
3844,2,34,2,10.49,24451,Pune,Independent House,West,Semi Furnished,2.7,3.9,No,68,"Lift,Garden,Gym,Security",13.7,5.18,4.23,2.85,6.9,104.6,8.72,9.56,2,3382434,0,1096694,189479,234400,Agent,0,1,Brick,Both,No,2,0
3571,1,46,1,5.5,4526,Hyderabad,Studio,West,Unfurnished,2,6.8,Yes,82,"Pool,Security,Gym,Lift",13.15,5.94,3.75,3.8,4.9,164.6,5.39,14.74,5,2454288,1,1450410,13278,473290,Agent,1,4,Mixed,Borewell,No,2,1
3319,2,42,4,26.52,15776,Hyderabad,Independent House,West,Semi Furnished,1.1,8.7,Yes,82,"Security,Garden,Gym",5.67,2.33,2.63,2.24,1.6,144.5,7.05,8.86,11,1149464,0,1760056,80167,307695,Builder,0,4,Brick,Borewell,Yes,2,1
530,4,41,4,9.43,9159,Bangalore,Villa,West,Fully Furnished,1.2,6.8,No,42,"Garden,Clubhouse,Gym",11.71,0.94,0.77,4.89,4.5,170.6,1.7,2.7,11,3309071,1,1770862,124305,98068,Owner,1,4,Concrete,Both,Yes,0,1
2085,2,16,3,1.25,14417,Bangalore,Independent House,South,Unfurnished,2.7,2.6,No,43,"Gym,Garden,Pool",7.73,5.7,0.63,7.28,2.1,58.5,5.91,6.83,7,3300066,1,1181786,57679,276746,Builder,0,1,Brick,Both,Yes,1,0
